,found_x1,found_y1,found_x2,found_y2
0,750,426,764,426
1,786,426,831,427
2,853,428,872,428
3,894,429,913,429
4,935,429,953,430
5,975,430,994,431
6,1016,431,1076,432
7,1098,433,1117,433
8,1139,434,1158,434
9,1180,435,1199,435
10,1221,435,1239,435
11,1261,436,1280,437
12,1301,438,1320,438
13,1342,438,1361,438
14,1382,439,1401,440
15,1423,440,1441,441
16,1463,441,1482,442
17,1503,442,1563,444
18,1584,444,1603,445
19,1625,445,1643,446
20,1665,446,1685,446
21,1707,447,1725,447
22,1747,448,1793,449
23,1815,449,1827,450
24,749,466,763,466
25,785,466,830,468
26,852,468,871,468
27,893,469,912,470
28,934,470,952,470
29,974,471,993,471
30,1015,472,1076,473
31,1097,473,1116,474
32,1138,474,1157,475
33,1179,475,1197,476
34,1219,476,1238,476
35,1260,477,1279,478
36,1301,478,1319,479
37,1341,479,1360,479
38,1382,480,1400,480
39,1422,481,1441,481
40,1462,482,1481,482
41,1502,483,1562,484
42,1584,485,1602,485
43,1624,486,1642,486
44,1664,487,1684,487
45,1706,488,1725,488
46,1747,489,1793,489
47,1815,490,1827,490
48,748,507,762,507
49,784,508,830,509
50,852,509,870,510
51,892,510,911,510
52,933,511,951,511
53,973,512,992,512
54,1014,512,1075,514
55,1097,515,1115,515
56,1137,515,1156,516
57,1178,517,1197,517
58,1219,518,1237,518
59,1259,518,1277,519
60,1299,519,1318,520
61,1340,520,1359,521
62,1381,521,1399,522
63,1421,522,1439,522
64,1461,523,1480,523
65,1501,523,1561,525
66,1583,526,1601,526
67,1623,527,1641,527
68,1663,527,1683,527
69,1705,528,1725,530
70,1746,530,1790,530
71,1812,531,1826,531
